WAV D4 FFT frec media,WAV D5 the difference between the maximum and minimum values,WAV D4 FFT VMAX,Peak2peak tiempo,x_center_mass,WAV MEDIA DE LA ENERGIA,elongation,FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS,Energía de las componentes de la senal,WAV D3 (RMS) root-mean-square ,WAV D2 (RMS) root-mean-square ,percentage of energy D5,correlation,WAV D3 the difference between the maximum and minimum values,WAV D3 FFT frec media,Kurtosis frecuencia,percentage of energy D6,WAV D2 FFT frec media,FREC MAX WAV D5,Kurtosis frecuencia,percentage of energy D4,maximum,FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS,WAV A6 FFT VMAX,solidity,FFT peak2rms,FREC 3er pico FFT,Valor FFT umbral 10Hz - 20 Hz   ,WAV D5 (RMS) root-mean-square ,WAV D3 FFT frec media,WAV D5 FFT VMAX,RMS tiempo,WAV D3 (RMS) root-mean-square ,Etiqueta
0.194929041966487,0.1937114912080567,0.190984723780601,0.1639975267772841,0.50390625,0.1260387834922876,0.9682739343116752,0.237481933923106,0.13942550832638,0.155395103799999,0.0507871018822977,0.353464847861143,0.8636617335107333,0.0941190957088799,0.103968974894614,0.0063485058722675,0.0960600215000532,0.0623301412597787,0.84375,0.0063485058722675,0.67898936795701,0.1354838709677419,0.237481933923106,0.0125094243668403,0.0,0.618683226737483,0.0535372848948375,0.0955598096679254,0.25323039230194,0.103968974894614,0.170390012034555,0.2266018057316763,0.155395103799999,1.0
0.473211432745306,0.1678978226629087,0.263003594100793,1.0,0.1523437500000007,0.549357350966632,0.94504962478819,0.699654466442045,0.151848675236928,0.687016529664436,0.708297907572958,0.0512356941370528,0.9621815944053848,0.656894353627491,0.622485623934126,0.026218768804211,0.0008621217377022,0.977718094472596,0.828125,0.026218768804211,0.307058870661517,0.5483870967741935,0.699654466442045,0.0205833559619942,0.0,0.0101712178724567,0.219885277246654,0.83098420631329,0.242764925726088,0.622485623934126,0.207176375902648,0.8735379733318716,0.687016529664436,0.0
0.205219901620237,0.1749467131621147,0.203770170383138,0.1545920031869986,0.5377604166666666,0.098223583239828,0.971008939974464,0.219859599603724,0.182709020910953,0.141922976983173,0.0579134390592236,0.270740257321567,0.9338927740799524,0.116676574921648,0.108542134617357,0.0091203143557901,0.112036046855182,0.0815537035831591,0.6796875,0.0091203143557901,0.722722913990875,0.4903225806451613,0.219859599603724,0.0240427709466244,0.0,0.487907958443935,0.0702676864244742,0.130341057974402,0.211938677682632,0.108542134617357,0.163422770586871,0.2116652150246919,0.141922976983173,1.0
0.213091174048905,0.2410867676208952,0.139289545743485,0.1604204681373134,0.5299479166666667,0.1078750286345562,0.9724347298117806,0.258364660152982,0.171113960409493,0.155530867170078,0.085405845081979,0.574458260156424,0.9423983397707952,0.166207817211773,0.121295828402542,0.0032793887022961,0.0882511565113196,0.13510956337357,0.84375,0.0032793887022961,0.419570764860463,0.5483870967741935,0.258364660152982,0.0136274514617167,0.0,0.237989171896882,0.0401529636711281,0.110566546460174,0.361463447330323,0.121295828402542,0.221017053659289,0.2732956232899617,0.155530867170078,1.0
0.289056075665119,0.1889571661581501,0.16760757869006,0.3795237095561851,0.2513020833333339,0.2662089296928133,0.9637611749680736,0.485033773171574,0.141334191669705,0.351240786225143,0.248175028739592,0.125013801028299,0.8860048584499424,0.421360143346386,0.251820278957749,0.0060137677080158,0.0424114130127929,0.291440998648601,0.984375,0.0060137677080158,0.530258451796299,0.4258064516129032,0.485033773171574,0.0290550540547967,0.0,0.158823880262598,0.0501912045889101,0.345781674270471,0.215970588485895,0.251820278957749,0.18552012203484,0.41437100540699,0.351240786225143,1.0
0.330233475186691,0.1523522121934642,0.248829655718436,0.2779254505023505,0.4023437500000002,0.22142707005203,0.9690904139433664,0.223128591970205,0.207368728393183,0.228393645089255,0.132895450059145,0.227304726048763,0.8422995923848333,0.155043898507602,0.1751452207054,0.0152627103631202,0.0786796437806207,0.176979300064513,0.828125,0.0152627103631202,0.750480033779922,0.1870967741935484,0.223128591970205,0.0160549974140498,0.0,0.350340531186908,0.0630975143403442,0.131173990580946,0.256874272817213,0.1751452207054,0.240000788110022,0.3903254063975033,0.228393645089255,1.0
0.396437032652604,0.408522405372288,0.584454120093173,0.5339218493897826,0.5182291666666655,0.5425380747434227,0.973096296296294,0.145174468440627,0.255951683023977,0.225718091064219,0.0456782752419617,0.329784079442003,0.9681505703200716,0.236523884258838,0.140922138191777,0.0225293520845521,0.0347599679854696,0.0587151128531904,0.890625,0.0225293520845521,0.82540375537436,1.0,0.145174468440627,0.0214147371018567,0.0,0.830100956848887,0.0898661567877629,0.0328553488408058,0.48829243756147,0.140922138191777,0.284876169596492,0.6413510111577945,0.225718091064219,1.0
0.33604674943308,0.4255850130389937,0.269801049457298,0.7574695700569083,0.51171875,0.6290308244086487,0.971787223465082,0.250069315579808,0.214707116994562,0.383385304895265,0.106412578946063,0.248001607028497,0.9120381044306968,0.457084836162598,0.207773049131797,0.0206987495122033,0.0242222098770925,0.0902902371410854,0.84375,0.0206987495122033,0.729094292368494,0.832258064516129,0.250069315579808,0.0133845668382926,0.0,0.361241345127999,0.0454110898661568,0.13649605101025,0.392874003010615,0.207773049131797,0.32095673901229,0.5816264540509349,0.383385304895265,1.0
0.291185129098199,0.2335014555070075,0.214560235513022,0.3130622538875625,0.5624999999999989,0.1255998570883428,0.9665709447021484,0.231518132013723,0.281650633829518,0.187911762421721,0.0936577190570906,0.293562459700236,0.9187371542001724,0.180985088630822,0.146823442404438,0.0052492820483581,0.042462637050162,0.135465582087137,0.875,0.0052492820483581,0.69331236922057,0.4258064516129032,0.231518132013723,0.0225481031345165,0.0,0.314812305029129,0.0879541108986616,0.127534170589393,0.274256241554308,0.146823442404438,0.190981599108412,0.3048239537749437,0.187911762421721,1.0
0.546181232308185,0.2715530024700532,0.317978186222008,0.3013516125317628,0.3098958333333327,0.9941848729675204,0.9609865085503166,0.486712090725801,0.0996764330663032,0.72825211474052,0.447363067043926,0.0924573515537835,0.9233181159079492,0.63037863761081,0.527963605932153,0.0416618035797671,0.0352081039549779,0.476450420012165,0.890625,0.0416618035797671,0.573736355135699,0.6064516129032258,0.486712090725801,0.0428941114057531,0.0,0.163155651473829,0.0822179732313576,0.342464610953402,0.345775718926735,0.527963605932153,0.183660329074941,0.9303174134502242,0.72825211474052,0.0
