WAV A6 the difference between the maximum and minimum values,WAV D2 the difference between the maximum and minimum values,WAV D3 (RMS) root-mean-square ,WAV D5 FFT frec media,MSE frecuencia,WAV D5 (RMS) root-mean-square ,WAV D6 the ratio of the largest absolute value to the root-mean-square (RMS).,WAV A6 FFT VMAX,WAV A6 FFT VMAX,percentage of energy D1,percentage of energy D3.1,WAV D2 FFT frec media,FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS,Frequency FFT umbral 10Hz - 20 Hz   ,WAV D4 FFT VMAX,WAV D2 (RMS) root-mean-square ,MSE tiempo,Entropia tiempo,WAV D1 FFT VMAX,percentage of energy D4,FREC MAX WAV D5,WAV D3 FFT frec media,FFT ENERGIA,FFT 3ER PICO MAS ALTO,WAV D6 FFT VMAX,WAV D2 the difference between the maximum and minimum values,FREC 3er pico FFT,WAV D2 (RMS) root-mean-square ,Etiqueta
0.0833209408265838,0.0298386806516248,0.155395103799999,0.199866857614833,0.116506383383937,0.25323039230194,0.35317730151144,0.0125094243668403,0.0125094243668403,0.0605637076258606,0.0319252626384123,0.0623301412597787,0.237481933923106,0.116847826086957,0.190984723780601,0.0507871018822977,0.907095469233874,0.0,0.581108232864253,0.67898936795701,0.84375,0.103968974894614,0.1100686913750262,0.1817362640165038,0.118834935298324,0.0298386806516248,0.0535372848948375,0.0507871018822977,1.0
0.0300455936347621,1.0,0.687016529664436,0.224266605375647,0.455804776645822,0.242764925726088,0.131005859339862,0.0205833559619942,0.0205833559619942,0.124396442620771,0.373240052042409,0.977718094472596,0.699654466442045,0.587635869565217,0.263003594100793,0.708297907572958,0.351758166165705,0.0,0.520815790159078,0.307058870661517,0.828125,0.622485623934126,0.6508476837831454,0.274405398490229,0.0295984332880445,1.0,0.219885277246654,0.708297907572958,0.0
0.2260174897110812,0.0310395892317476,0.141922976983173,0.186207132765879,0.0992910668454643,0.211938677682632,0.276320102937941,0.0240427709466244,0.0240427709466244,0.0639088962874952,0.039461388645664,0.0815537035831591,0.219859599603724,0.0271739130434783,0.203770170383138,0.0579134390592236,0.882480944552528,0.0,0.58452206997379,0.722722913990875,0.6796875,0.108542134617357,0.1217074893527542,0.2359984432893223,0.130622082303349,0.0310395892317476,0.0702676864244742,0.0579134390592236,1.0
0.0930318763808449,0.0394908323447294,0.155530867170078,0.339110935283252,0.34589604657459,0.361463447330323,0.40629541541056,0.0136274514617167,0.0136274514617167,0.198457399154099,0.0510456508957875,0.13510956337357,0.258364660152982,0.478940217391304,0.139289545743485,0.085405845081979,0.910015046928438,0.0,0.463721775241786,0.419570764860463,0.84375,0.121295828402542,0.0913434656256374,0.1822106207687726,0.153485937587741,0.0394908323447294,0.0401529636711281,0.085405845081979,1.0
0.1445868645016733,0.266708190595496,0.351240786225143,0.163021760723331,0.376016187500788,0.215970588485895,0.181170357447336,0.0290550540547967,0.0290550540547967,0.0889743264966581,0.168312284580345,0.291440998648601,0.485033773171574,0.676630434782609,0.16760757869006,0.248175028739592,0.723574841269581,0.0,0.47102120164011,0.530258451796299,0.984375,0.251820278957749,0.2742305104176644,0.177101812927623,0.129889379759159,0.266708190595496,0.0501912045889101,0.248175028739592,1.0
0.0841145745765607,0.0813874176401421,0.228393645089255,0.212988329677373,0.201446194118488,0.256874272817213,0.274324913532814,0.0160549974140498,0.0160549974140498,0.0458710846822899,0.0600783548520129,0.176979300064513,0.223128591970205,0.617527173913044,0.248829655718436,0.132895450059145,0.887028978194043,0.0,0.305889186709089,0.750480033779922,0.828125,0.1751452207054,0.1316517552076447,0.2928511907359128,0.116819890757945,0.0813874176401421,0.0630975143403442,0.132895450059145,1.0
0.1417440422648931,0.0320382139557269,0.225718091064219,0.3836785205994,0.079028637387013,0.48829243756147,0.167767083909115,0.0214147371018567,0.0214147371018567,0.0194136846804152,0.0065855549288193,0.0587151128531904,0.145174468440627,0.0230978260869565,0.584454120093173,0.0456782752419617,0.701140714373443,0.0,0.517310248045868,0.82540375537436,0.890625,0.140922138191777,0.4962431966390511,0.3897188826330346,0.132392310487351,0.0320382139557269,0.0898661567877629,0.0456782752419617,1.0
0.0718285608401081,0.0627514938963705,0.383385304895265,0.248039547966957,0.122441965929321,0.392874003010615,0.166926204629663,0.0133845668382926,0.0133845668382926,0.0120157863105877,0.0253252843103414,0.0902902371410854,0.250069315579808,0.0135869565217391,0.269801049457298,0.106412578946063,0.675335671033096,0.0,0.47703190039722,0.729094292368494,0.84375,0.207773049131797,0.3136346856668671,0.3027861585679874,0.0825325711211009,0.0627514938963705,0.0454110898661568,0.106412578946063,1.0
0.1631957298694149,0.0890433280550166,0.187911762421721,0.255454363657844,0.208968144034055,0.274256241554308,0.128036251829387,0.0225481031345165,0.0225481031345165,0.0738426777648986,0.0510771151971946,0.135465582087137,0.231518132013723,0.0142663043478261,0.214560235513022,0.0936577190570906,0.859912546150881,0.0,0.426361687730151,0.69331236922057,0.875,0.146823442404438,0.1068089905867369,0.2173638796591467,0.0988992601851874,0.0890433280550166,0.0879541108986616,0.0936577190570906,1.0
0.1429100422357873,0.512171980470346,0.72825211474052,0.284395417517084,0.302142205842546,0.345775718926735,0.354197820064015,0.0428941114057531,0.0428941114057531,0.0348985646089786,0.141883750271395,0.476450420012165,0.486712090725801,0.581521739130435,0.317978186222008,0.447363067043926,0.498051789227814,0.0,0.221353846413976,0.573736355135699,0.890625,0.527963605932153,0.9100804258919588,0.351200547982247,0.157859100972932,0.512171980470346,0.0822179732313576,0.447363067043926,0.0
0.0550381598590775,0.551774825939493,0.878755802432973,0.227773350634796,0.290889603014942,0.259295041117662,0.900176204677529,0.0078355675396104,0.0078355675396104,0.023009708017485,0.215094462721672,0.701281023071751,0.545286929641308,0.0849184782608696,0.29706002258089,0.595569470481955,0.312059730596108,0.0,0.224108206791462,0.445380062770398,0.71875,0.736849215980417,0.6776791062220496,0.3461280271448804,0.0943269370559256,0.551774825939493,0.15774378585086,0.595569470481955,0.0
0.0991117380440911,0.0455472850475466,0.119931609952058,0.252352468389684,0.224113950364202,0.283529132222509,0.686582128382673,0.0164426514227831,0.0164426514227831,0.0916996240780441,0.0714249461347942,0.139014440220704,0.187892523787428,0.112092391304348,0.175186575939932,0.0923677339707086,0.912695932243843,0.0,0.554813464658529,0.584905555048393,0.890625,0.101816478849144,0.0685228554584035,0.1729907155075109,0.172342576000699,0.0455472850475466,0.0697896749521989,0.0923677339707086,1.0
0.1002384495651693,0.509727696965257,0.632712368435892,0.208662949765422,0.255740047851341,0.304821574941171,0.365552038866031,0.0332807253256998,0.0332807253256998,0.0131100987804121,0.130916202779067,0.306999434985477,0.43552340532188,0.0516304347826087,0.236457483943572,0.342630437117704,0.290542229395025,0.0,0.224918707539432,0.537576181013287,0.890625,0.404129776222115,0.481868072844564,0.2228725023753451,0.0558576710710231,0.509727696965257,0.0726577437858509,0.342630437117704,0.0
