Valor FFT umbral 10Hz - 20 Hz   ,FREC MAX WAV D5,WAV D1 FFT VMAX,FFT rms,WAV D5 (RMS) root-mean-square ,WAV D2 FFT VMAX,percentage of energy D1,WAV A6 (RMS) root-mean-square ,percentage of energy D5,WAV D2 the difference between the maximum and minimum values,WAV D4 FFT frec media,FREC MAX WAV D2,WAV D1 FFT frec media,WAV D2 FFT VMAX,WAV D4 FFT frec media,percentage of energy D5,WAV D4 FFT VMAX,WAV D4 FFT frec media,percentage of energy D5,WAV MEDIA DE LA ENERGIA,Valor FFT umbral 10Hz - 20 Hz   ,WAV A6 the difference between the maximum and minimum values,WAV D2 (RMS) root-mean-square ,x_centroid,inv_diff_mom,FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS,WAV D3 the difference between the maximum and minimum values,WAV D2 FFT frec media,WAV A6 the ratio of the largest absolute value to the root-mean-square (RMS).,Entropia frecuencia,ang_seg_mom,WAV D1 FFT frec media,FFT peak2rms,Etiqueta
0.0955598096679254,0.84375,0.581108232864253,0.151595245199001,0.25323039230194,0.0298475703930082,0.0605637076258606,0.0679665358598828,0.353464847861143,0.0298386806516248,0.194929041966487,0.609533468559838,0.122397136454257,0.0298475703930082,0.194929041966487,0.353464847861143,0.190984723780601,0.194929041966487,0.353464847861143,0.1260387834922876,0.0955598096679254,0.0833209408265838,0.0507871018822977,0.5039062499999991,0.9933315386870588,0.237481933923106,0.0941190957088799,0.0623301412597787,0.133384418635927,0.0,0.9940871381273756,0.122397136454257,0.618683226737483,1.0
0.83098420631329,0.828125,0.520815790159078,0.72692437922673,0.242764925726088,0.425237071338043,0.124396442620771,0.032984130809039,0.0512356941370528,1.0,0.473211432745306,0.217038539553753,0.726808125749181,0.425237071338043,0.473211432745306,0.0512356941370528,0.263003594100793,0.473211432745306,0.0512356941370528,0.549357350966632,0.83098420631329,0.0300455936347621,0.708297907572958,0.1523437499999989,0.6956224035487608,0.699654466442045,0.656894353627491,0.977718094472596,0.155448276165965,0.0,0.6285666682993197,0.726808125749181,0.0101712178724567,0.0
0.130341057974402,0.6796875,0.58452206997379,0.162894900512917,0.211938677682632,0.0544793729845621,0.0639088962874952,0.0784844686935681,0.270740257321567,0.0310395892317476,0.205219901620237,0.608519269776876,0.13940639185077,0.0544793729845621,0.205219901620237,0.270740257321567,0.203770170383138,0.205219901620237,0.270740257321567,0.098223583239828,0.130341057974402,0.2260174897110812,0.0579134390592236,0.5377604166666656,0.9135896601397206,0.219859599603724,0.116676574921648,0.0815537035831591,0.524068029078715,0.0,0.9132231372460063,0.13940639185077,0.487907958443935,1.0
0.110566546460174,0.84375,0.463721775241786,0.233356066895712,0.361463447330323,0.0308916416442611,0.198457399154099,0.0664584140759297,0.574458260156424,0.0394908323447294,0.213091174048905,0.758620689655172,0.382901640470207,0.0308916416442611,0.213091174048905,0.574458260156424,0.139289545743485,0.213091174048905,0.574458260156424,0.1078750286345562,0.110566546460174,0.0930318763808449,0.085405845081979,0.5299479166666656,0.8419290330281441,0.258364660152982,0.166207817211773,0.13510956337357,0.21871763222588,0.0,0.8302829144230232,0.382901640470207,0.237989171896882,1.0
0.345781674270471,0.984375,0.47102120164011,0.282067257923497,0.215970588485895,0.125070993663783,0.0889743264966581,0.0806995696548939,0.125013801028299,0.266708190595496,0.289056075665119,0.283975659229209,0.278913643355118,0.125070993663783,0.289056075665119,0.125013801028299,0.16760757869006,0.289056075665119,0.125013801028299,0.2662089296928133,0.345781674270471,0.1445868645016733,0.248175028739592,0.2513020833333323,0.922915748619964,0.485033773171574,0.421360143346386,0.291440998648601,0.226329965041304,0.0,0.9385104831860124,0.278913643355118,0.158823880262598,1.0
0.131173990580946,0.828125,0.305889186709089,0.28973855667634,0.256874272817213,0.0716849890364769,0.0458710846822899,0.0537028991528812,0.227304726048763,0.0813874176401421,0.330233475186691,0.239350912778905,0.201398685665304,0.0716849890364769,0.330233475186691,0.227304726048763,0.248829655718436,0.330233475186691,0.227304726048763,0.22142707005203,0.131173990580946,0.0841145745765607,0.132895450059145,0.4023437499999989,0.9941886902132566,0.223128591970205,0.155043898507602,0.176979300064513,0.228085768264734,0.0,0.9954034767493698,0.201398685665304,0.350340531186908,1.0
0.0328553488408058,0.890625,0.517310248045868,0.408869022924897,0.48829243756147,0.0322912163288387,0.0194136846804152,0.0713380136103077,0.329784079442003,0.0320382139557269,0.396437032652604,0.438133874239351,0.151694490646488,0.0322912163288387,0.396437032652604,0.329784079442003,0.584454120093173,0.396437032652604,0.329784079442003,0.5425380747434227,0.0328553488408058,0.1417440422648931,0.0456782752419617,0.5182291666666667,0.62025217685364,0.145174468440627,0.236523884258838,0.0587151128531904,0.322048581663587,0.0,0.6395538809198605,0.151694490646488,0.830100956848887,1.0
0.13649605101025,0.84375,0.47703190039722,0.307382660316922,0.392874003010615,0.0559240153431854,0.0120157863105877,0.0508367117170074,0.248001607028497,0.0627514938963705,0.33604674943308,0.113590263691684,0.0758264729978044,0.0559240153431854,0.33604674943308,0.248001607028497,0.269801049457298,0.33604674943308,0.248001607028497,0.6290308244086487,0.13649605101025,0.0718285608401081,0.106412578946063,0.5117187499999991,0.3840675257077564,0.250069315579808,0.457084836162598,0.0902902371410854,0.169304826056212,0.0,0.606526639388574,0.0758264729978044,0.361241345127999,1.0
0.127534170589393,0.875,0.426361687730151,0.256012546556213,0.274256241554308,0.0458399277026757,0.0738426777648986,0.0754641923807262,0.293562459700236,0.0890433280550166,0.291185129098199,0.363083164300203,0.233806874929214,0.0458399277026757,0.291185129098199,0.293562459700236,0.214560235513022,0.291185129098199,0.293562459700236,0.1255998570883428,0.127534170589393,0.1631957298694149,0.0936577190570906,0.5625,0.8987670955113103,0.231518132013723,0.180985088630822,0.135465582087137,0.311463111458701,0.0,0.8980397220441172,0.233806874929214,0.314812305029129,1.0
0.342464610953402,0.890625,0.221353846413976,0.58623027118885,0.345775718926735,0.268542774156758,0.0348985646089786,0.1135622073357389,0.0924573515537835,0.512171980470346,0.546181232308185,0.212981744421907,0.325309561551178,0.268542774156758,0.546181232308185,0.0924573515537835,0.317978186222008,0.546181232308185,0.0924573515537835,0.9941848729675204,0.342464610953402,0.1429100422357873,0.447363067043926,0.3098958333333333,0.520196043887708,0.486712090725801,0.63037863761081,0.476450420012165,0.208565425694512,0.0,0.6076031027576672,0.325309561551178,0.163155651473829,0.0
