percentage of energy D4,ang_seg_mom,WAV D3 FFT VMAX,percentage of energy D4,WAV D3 the difference between the maximum and minimum values,Picos,WAV D4 FFT VMAX,FREC 3er pico FFT,median,Varianza tiempo,MSE frecuencia,Frecuecia umbral 20-30,RMS tiempo,WAV D6 (RMS) root-mean-square ,WAV D1 the ratio of the largest absolute value to the root-mean-square (RMS).,FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS,WAV D2 the ratio of the largest absolute value to the root-mean-square (RMS).,percentage of energy D3.1,WAV D2 (RMS) root-mean-square ,percentage of energy D4,WAV D2 FFT VMAX,TIEMPO ENERGIA,Energia senal,MSE tiempo,entropy,WAV D3 the ratio of the largest absolute value to the root-mean-square (RMS).,x_center_mass,WAV D4 FFT VMAX,WAV MEDIA DE LA ENERGIA,FREC 2do PICO en FFT,Etiqueta
0.67898936795701,0.9940871381273756,0.117600322131037,0.67898936795701,0.0941190957088799,0.115646258503401,0.190984723780601,0.0535372848948375,0.0,0.102626484415147,0.116506383383937,0.151700420328621,0.2266018057316763,0.177183931403716,0.168217155349704,0.237481933923106,0.0985935952799797,0.0319252626384123,0.0507871018822977,0.67898936795701,0.0298475703930082,0.1254636269908577,0.1254636269908566,0.907095469233874,0.0091060168495703,0.0340354018237383,0.50390625,0.190984723780601,0.1260387834922876,0.0397479398933592,1.0
0.307058870661517,0.6285666682993197,0.415379498923158,0.307058870661517,0.656894353627491,0.306122448979592,0.263003594100793,0.219885277246654,0.0,0.7954422891291228,0.455804776645822,0.15246465418418,0.8735379733318716,0.0450746660198398,0.36393375836548,0.699654466442045,0.472773915601436,0.373240052042409,0.708297907572958,0.307058870661517,0.425237071338043,0.5515001733064556,0.5515001733064555,0.351758166165705,0.4663486191551194,0.171732807973221,0.1523437500000007,0.263003594100793,0.549357350966632,0.119728550654387,0.0
0.722722913990875,0.9132231372460063,0.0707531041153494,0.722722913990875,0.116676574921648,0.122448979591837,0.203770170383138,0.0702676864244742,0.0,0.0936237696545403,0.0992910668454643,0.251050821551395,0.2116652150246919,0.180371207671089,0.107214850981423,0.219859599603724,0.099136511165212,0.039461388645664,0.0579134390592236,0.722722913990875,0.0544793729845621,0.0949332018009819,0.0949332018009818,0.882480944552528,0.1215125015196817,0.121750862232561,0.5377604166666666,0.203770170383138,0.098223583239828,0.056228793019874,1.0
0.419570764860463,0.8302829144230232,0.0853037213787658,0.419570764860463,0.166207817211773,0.102040816326531,0.139289545743485,0.0401529636711281,0.0,0.1328116496552452,0.34589604657459,0.895299961788307,0.2732956232899617,0.192160265846033,0.0568425197155736,0.258364660152982,0.0511267345004394,0.0510456508957875,0.085405845081979,0.419570764860463,0.0308916416442611,0.106691683726451,0.1066916837264519,0.910015046928438,0.2306897999131577,0.205317959067485,0.5299479166666667,0.139289545743485,0.1078750286345562,0.0334464372273388,1.0
0.530258451796299,0.9385104831860124,0.236535346127964,0.530258451796299,0.421360143346386,0.108843537414966,0.16760757869006,0.0501912045889101,0.0,0.2427053957650749,0.376016187500788,0.649980894153611,0.41437100540699,0.144331025119495,0.0779959715244954,0.485033773171574,0.284488484016658,0.168312284580345,0.248175028739592,0.530258451796299,0.125070993663783,0.2601539655052403,0.2601539655052401,0.723574841269581,0.0826050685733106,0.273699432818287,0.2513020833333339,0.16760757869006,0.2662089296928133,0.0707707222491517,1.0
0.750480033779922,0.9954034767493698,0.143663899331141,0.750480033779922,0.155043898507602,0.122448979591837,0.248829655718436,0.0630975143403442,0.0,0.2219898273656359,0.201446194118488,0.397019487963317,0.3903254063975033,0.18118679096268,0.125266125891426,0.223128591970205,0.100708714466443,0.0600783548520129,0.132895450059145,0.750480033779922,0.0716849890364769,0.2089608940996785,0.2089608940996784,0.887028978194043,0.0073213173257384,0.0629009409104326,0.4023437500000002,0.248829655718436,0.22142707005203,0.0896752302472128,1.0
0.82540375537436,0.6395538809198605,0.130810775626481,0.82540375537436,0.236523884258838,0.115646258503401,0.584454120093173,0.0898661567877629,0.0,0.4786110291572175,0.079028637387013,0.102789453572793,0.6413510111577945,0.205843318406105,0.0709134477500532,0.145174468440627,0.124289320102533,0.0065855549288193,0.0456782752419617,0.82540375537436,0.0322912163288387,0.5435158586750765,0.5435158586750743,0.701140714373443,0.4824491075953072,0.224409114866246,0.5182291666666655,0.584454120093173,0.5425380747434227,0.0688317983519147,1.0
0.729094292368494,0.606526639388574,0.193030875210059,0.729094292368494,0.457084836162598,0.122448979591837,0.269801049457298,0.0454110898661568,0.0,0.4094447453021619,0.122441965929321,0.643867023309133,0.5816264540509349,0.171540270124176,0.0953261726980123,0.250069315579808,0.105035407814895,0.0253252843103414,0.106412578946063,0.729094292368494,0.0559240153431854,0.6302580090953828,0.6302580090953807,0.675335671033096,0.4789586619549821,0.265113617811955,0.51171875,0.269801049457298,0.6290308244086487,0.0736791080950073,1.0
0.69331236922057,0.8980397220441172,0.154412714419029,0.69331236922057,0.180985088630822,0.142857142857143,0.214560235513022,0.0879541108986616,0.0,0.1549324127526007,0.208968144034055,0.430645777607948,0.3048239537749437,0.141391323196859,0.138757342824475,0.231518132013723,0.21631245957098,0.0510771151971946,0.0936577190570906,0.69331236922057,0.0458399277026757,0.1247570015111734,0.1247570015111733,0.859912546150881,0.1376832345460959,0.172541759048893,0.5624999999999989,0.214560235513022,0.1255998570883428,0.0499272903538536,1.0
0.573736355135699,0.6076031027576672,0.352402682150068,0.573736355135699,0.63037863761081,0.197278911564626,0.317978186222008,0.0822179732313576,0.0,0.8843435291371163,0.302142205842546,0.0233091325945739,0.9303174134502242,0.323843562861513,0.326312883973152,0.486712090725801,0.31500588676039,0.141883750271395,0.447363067043926,0.573736355135699,0.268542774156758,0.9980556646428485,0.9980556646428502,0.498051789227814,0.4811298156266414,0.136142124451317,0.3098958333333327,0.317978186222008,0.9941848729675204,0.130392632089191,0.0
0.445380062770398,0.6472519244555538,0.429897524325303,0.445380062770398,0.872049944889376,0.204081632653061,0.29706002258089,0.15774378585086,0.0,1.0,0.290889603014942,0.15246465418418,1.0,0.152639877146619,0.339867618148771,0.545286929641308,0.225459443097465,0.215094462721672,0.595569470481955,0.445380062770398,0.320771563643284,0.8389755488097002,0.838975548809702,0.312059730596108,0.4608764472082289,0.199297781343723,0.2760416666666662,0.29706002258089,0.836036333835229,0.124575860397479,0.0
0.584905555048393,0.929602601606616,0.0837640396670899,0.584905555048393,0.0782140726826796,0.129251700680272,0.175186575939932,0.0697896749521989,0.0,0.1001794337925612,0.224113950364202,0.204432556362247,0.2225724155466388,0.21552595675974,0.0845295438093761,0.187892523787428,0.0668285729282437,0.0714249461347942,0.0923677339707086,0.584905555048393,0.0502419981540292,0.0800381889188329,0.0800381889188328,0.912695932243843,0.100058610667346,0.0425275750935947,0.5794270833333333,0.175186575939932,0.0805115271863611,0.0644692195831314,1.0
0.537576181013287,0.5154129294345873,0.287882060397266,0.537576181013287,0.683094262328482,0.183673469387755,0.236457483943572,0.0726577437858509,0.0,0.5778175872545119,0.255740047851341,0.197554451662209,0.720396482154322,0.106308342366001,0.350251978460801,0.43552340532188,0.455685508148654,0.130916202779067,0.342630437117704,0.537576181013287,0.172701544077766,0.8108153041728702,0.8108153041728701,0.290542229395025,0.6331667449648789,0.223091433953116,0.484374999999999,0.236457483943572,0.8096105712038977,0.0741638390693165,0.0
