percentage of energy D6,WAV A6 (RMS) root-mean-square ,WAV D3 FFT VMAX,percentage of energy D5,WAV D5 (RMS) root-mean-square ,Valor FFT umbral 10Hz - 20 Hz   ,Valor FFT umbral 10Hz - 20 Hz   ,Frecuecia umbral 20-30,TIEMPO peak2rms,percentage of energy D1,WAV D6 (RMS) root-mean-square ,circularity,WAV D2 FFT VMAX,WAV D3 the difference between the maximum and minimum values,WAV D1 FFT frec media,WAV D2 the ratio of the largest absolute value to the root-mean-square (RMS).,WAV A6 (RMS) root-mean-square ,perimeter,percentage of energy D5,WAV D5 the difference between the maximum and minimum values,Entropia frecuencia,WAV D4 FFT frec media,percentage of energy D3,WAV D3 (RMS) root-mean-square ,FFT ENERGIA,WAV D6 FFT frec media,72 WAV D4 (RMS) root-mean-square ,WAV D6 the difference between the maximum and minimum values,WAV D6 FFT VMAX,correlation,Etiqueta
0.0960600215000532,0.0679665358598828,0.117600322131037,0.353464847861143,0.25323039230194,0.0955598096679254,0.0955598096679254,0.151700420328621,0.110557120017061,0.0605637076258606,0.177183931403716,0.0212980586479822,0.0298475703930082,0.0941190957088799,0.122397136454257,0.0985935952799797,0.0679665358598828,0.7500000000000001,0.353464847861143,0.1937114912080567,0.0,0.194929041966487,0.158120754105053,0.155395103799999,0.1100686913750262,0.144173075352973,0.335303533187559,0.1549037653680021,0.118834935298324,0.8636617335107333,1.0
0.0008621217377022,0.032984130809039,0.415379498923158,0.0512356941370528,0.242764925726088,0.83098420631329,0.83098420631329,0.15246465418418,0.238391124441243,0.124396442620771,0.0450746660198398,0.0884605345509719,0.425237071338043,0.656894353627491,0.726808125749181,0.472773915601436,0.032984130809039,0.4021739130434782,0.0512356941370528,0.1678978226629087,0.0,0.473211432745306,0.418242703811342,0.687016529664436,0.6508476837831454,0.0601428116453514,0.569589520836123,0.019450002475258,0.0295984332880445,0.9621815944053848,0.0
0.112036046855182,0.0784844686935681,0.0707531041153494,0.270740257321567,0.211938677682632,0.130341057974402,0.130341057974402,0.251050821551395,0.130987960770602,0.0639088962874952,0.180371207671089,0.0134134810621979,0.0544793729845621,0.116676574921648,0.13940639185077,0.099136511165212,0.0784844686935681,0.8276397515527951,0.270740257321567,0.1749467131621147,0.0,0.205219901620237,0.140889560262358,0.141922976983173,0.1217074893527542,0.161346519872876,0.338110816880033,0.1212020787733982,0.130622082303349,0.9338927740799524,1.0
0.0882511565113196,0.0664584140759297,0.0853037213787658,0.574458260156424,0.361463447330323,0.110566546460174,0.110566546460174,0.895299961788307,0.0928344042865475,0.198457399154099,0.192160265846033,0.0093052256585366,0.0308916416442611,0.166207817211773,0.382901640470207,0.0511267345004394,0.0664584140759297,0.8742236024844721,0.574458260156424,0.2410867676208952,0.0,0.213091174048905,0.126788486053686,0.155530867170078,0.0913434656256374,0.157633300608478,0.291128025611941,0.1768587139942226,0.153485937587741,0.9423983397707952,1.0
0.0424114130127929,0.0806995696548939,0.236535346127964,0.125013801028299,0.215970588485895,0.345781674270471,0.345781674270471,0.649980894153611,0.14101073970555,0.0889743264966581,0.144331025119495,0.0343190101394874,0.125070993663783,0.421360143346386,0.278913643355118,0.284488484016658,0.0806995696548939,0.6475155279503105,0.125013801028299,0.1889571661581501,0.0,0.289056075665119,0.343389388521183,0.351240786225143,0.2742305104176644,0.126736211727023,0.43216888562202,0.0884570291884121,0.129889379759159,0.8860048584499424,1.0
0.0786796437806207,0.0537028991528812,0.143663899331141,0.227304726048763,0.256874272817213,0.131173990580946,0.131173990580946,0.397019487963317,0.122379626828349,0.0458710846822899,0.18118679096268,0.0189437347741616,0.0716849890364769,0.155043898507602,0.201398685665304,0.100708714466443,0.0537028991528812,0.7717391304347826,0.227304726048763,0.1523522121934642,0.0,0.330233475186691,0.158947386312988,0.228393645089255,0.1316517552076447,0.145677524578407,0.498421829415123,0.1325560978995121,0.116819890757945,0.8422995923848333,1.0
0.0347599679854696,0.0713380136103077,0.130810775626481,0.329784079442003,0.48829243756147,0.0328553488408058,0.0328553488408058,0.102789453572793,0.133722229274792,0.0194136846804152,0.205843318406105,0.0073994756527646,0.0322912163288387,0.236523884258838,0.151694490646488,0.124289320102533,0.0713380136103077,0.8975155279503105,0.329784079442003,0.408522405372288,0.0,0.396437032652604,0.0759993234950175,0.225718091064219,0.4962431966390511,0.162853311895729,0.735451569486414,0.1240994861635964,0.132392310487351,0.9681505703200716,1.0
0.0242222098770925,0.0508367117170074,0.193030875210059,0.248001607028497,0.392874003010615,0.13649605101025,0.13649605101025,0.643867023309133,0.246308248623161,0.0120157863105877,0.171540270124176,0.0111707680601647,0.0559240153431854,0.457084836162598,0.0758264729978044,0.105035407814895,0.0508367117170074,0.8524844720496895,0.248001607028497,0.4255850130389937,0.0,0.33604674943308,0.253530593274237,0.383385304895265,0.3136346856668671,0.104253571142001,0.641195168712245,0.0998957813873697,0.0825325711211009,0.9120381044306968,1.0
0.042462637050162,0.0754641923807262,0.154412714419029,0.293562459700236,0.274256241554308,0.127534170589393,0.127534170589393,0.430645777607948,0.178217068226466,0.0738426777648986,0.141391323196859,0.0262101344378784,0.0458399277026757,0.180985088630822,0.233806874929214,0.21631245957098,0.0754641923807262,0.7080745341614907,0.293562459700236,0.2335014555070075,0.0,0.291185129098199,0.158831226052789,0.187911762421721,0.1068089905867369,0.128616521695734,0.402714765702527,0.0779935394089046,0.0988992601851874,0.9187371542001724,1.0
0.0352081039549779,0.1135622073357389,0.352402682150068,0.0924573515537835,0.345775718926735,0.342464610953402,0.342464610953402,0.0233091325945739,0.0286718655789037,0.0348985646089786,0.323843562861513,0.0423319864342204,0.268542774156758,0.63037863761081,0.325309561551178,0.31500588676039,0.1135622073357389,0.5962732919254659,0.0924573515537835,0.2715530024700532,0.0,0.546181232308185,0.422879160218032,0.72825211474052,0.9100804258919588,0.246973384975284,0.822995671684605,0.2757848930094402,0.157859100972932,0.9233181159079492,0.0
