FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS,maximum,Media frecuencia,y_center_mass,WAV D1 the ratio of the largest absolute value to the root-mean-square (RMS).,FREC MAX WAV D3,mean,TIEMPO ENERGIA,Entropia frecuencia,Varianza tiempo,percentage of energy D4,percentage of energy D3,FFT ENERGIA,FREC 3er pico FFT,WAV D4 the ratio of the largest absolute value to the root-mean-square (RMS).,WAV A6 FFT frec media,WAV D2 FFT VMAX,form,area,FREC MAX WAV A6,WAV D2 (RMS) root-mean-square ,WAV D6 FFT frec media,contrast,TIEMPO peak2rms,FFT 3ER PICO MAS ALTO,WAV D3 FFT frec media,Valor FFT umbral 10Hz - 20 Hz   ,percentage of energy D5,entropy,y_centroid_cm_diff,Etiqueta
0.237481933923106,0.1354838709677419,0.084059450629597,0.5039062500000004,0.168217155349704,0.281124497991968,0.001160119999306,0.1254636269908577,0.0,0.102626484415147,0.67898936795701,0.158120754105053,0.1100686913750262,0.0535372848948375,0.241358681425711,0.0551221079339141,0.0298475703930082,0.0228802447345894,0.5861601085481681,0.851351351351351,0.0507871018822977,0.144173075352973,0.0028865507436705,0.110557120017061,0.1817362640165038,0.103968974894614,0.0955598096679254,0.353464847861143,0.0091060168495703,5.496905014501508e-17,1.0
0.699654466442045,0.5483870967741935,0.6093623692527322,0.1523437499999992,0.36393375836548,0.417670682730924,0.3333963564202342,0.5515001733064556,0.0,0.7954422891291228,0.307058870661517,0.418242703811342,0.6508476837831454,0.219885277246654,0.148507640139082,0.0468628781969449,0.425237071338043,0.0945558359721604,0.1920830629461388,0.702702702702703,0.708297907572958,0.0601428116453514,0.3330062250300974,0.238391124441243,0.274405398490229,0.622485623934126,0.83098420631329,0.0512356941370528,0.4663486191551194,5.496905014501508e-17,0.0
0.219859599603724,0.4903225806451613,0.0835970497924624,0.5377604166666663,0.107214850981423,0.150602409638554,0.0523062230104685,0.0949332018009819,0.0,0.0936237696545403,0.722722913990875,0.140889560262358,0.1217074893527542,0.0702676864244742,0.138322594645709,0.151453864924714,0.0544793729845621,0.0144184557742704,0.7029884456879913,0.918918918918919,0.0579134390592236,0.161346519872876,0.0674351760563046,0.130987960770602,0.2359984432893223,0.108542134617357,0.130341057974402,0.270740257321567,0.1215125015196817,1.1102230246251563e-16,1.0
0.258364660152982,0.5483870967741935,0.0978941695847801,0.5299479166666671,0.0568425197155736,0.0401606425702811,0.1321515645380726,0.106691683726451,0.0,0.1328116496552452,0.419570764860463,0.126788486053686,0.0913434656256374,0.0401529636711281,0.144408631541226,0.085738155165561,0.0308916416442611,0.0100054793448205,0.778142039660534,0.0540540540540541,0.085405845081979,0.157633300608478,0.1699467880899321,0.0928344042865475,0.1822106207687726,0.121295828402542,0.110566546460174,0.574458260156424,0.2306897999131577,5.496905014501508e-17,1.0
0.485033773171574,0.4258064516129032,0.2007333099950709,0.2513020833333335,0.0779959715244954,0.475903614457831,0.0264629583178761,0.2601539655052403,0.0,0.2427053957650749,0.530258451796299,0.343389388521183,0.2742305104176644,0.0501912045889101,0.431083890714208,0.110877309474993,0.125070993663783,0.0368325551187492,0.4480772310103912,0.702702702702703,0.248175028739592,0.126736211727023,0.0485007527047059,0.14101073970555,0.177101812927623,0.251820278957749,0.345781674270471,0.125013801028299,0.0826050685733106,5.496905014501508e-17,1.0
0.223128591970205,0.1870967741935484,0.1817766072499094,0.402343750000001,0.125266125891426,0.164658634538153,0.0011432178960255,0.2089608940996785,0.0,0.2219898273656359,0.750480033779922,0.158947386312988,0.1316517552076447,0.0630975143403442,0.237391011267009,0.0778992011712117,0.0716849890364769,0.0203546136037745,0.6178101586927024,0.72972972972973,0.132895450059145,0.145677524578407,0.0027307332041189,0.122379626828349,0.2928511907359128,0.1751452207054,0.131173990580946,0.227304726048763,0.0073213173257384,5.496905014501508e-17,1.0
0.145174468440627,1.0,0.2639928413202124,0.5182291666666674,0.0709134477500532,0.196787148594378,0.3786272195557707,0.5435158586750765,0.0,0.4786110291572175,0.82540375537436,0.0759993234950175,0.4962431966390511,0.0898661567877629,0.161272686698879,0.0995292826176881,0.0322912163288387,0.0079574512164019,0.8171410030592378,0.635135135135135,0.0456782752419617,0.162853311895729,0.3869144057449961,0.133722229274792,0.3897188826330346,0.140922138191777,0.0328553488408058,0.329784079442003,0.4824491075953072,5.496905014501508e-17,1.0
0.250069315579808,0.832258064516129,0.2475830674288773,0.5117187499999998,0.0953261726980123,0.248995983935743,0.3123165928977203,0.6302580090953828,0.0,0.4094447453021619,0.729094292368494,0.253530593274237,0.3136346856668671,0.0454110898661568,0.495885885862299,0.043899884647382,0.0559240153431854,0.0120097312855181,0.7425984139157402,0.0135135135135135,0.106412578946063,0.104253571142001,0.5864468048373225,0.246308248623161,0.3027861585679874,0.207773049131797,0.13649605101025,0.248001607028497,0.4789586619549821,5.496905014501508e-17,1.0
0.231518132013723,0.4258064516129032,0.1118031632340062,0.5624999999999996,0.138757342824475,0.188755020080321,0.0568649907742182,0.1247570015111734,0.0,0.1549324127526007,0.69331236922057,0.158831226052789,0.1068089905867369,0.0879541108986616,0.332765543477126,0.136706250015464,0.0458399277026757,0.0281468683458524,0.5274530790429557,0.513513513513514,0.0936577190570906,0.128616521695734,0.0858480198951793,0.178217068226466,0.2173638796591467,0.146823442404438,0.127534170589393,0.293562459700236,0.1376832345460959,1.1102230246251563e-16,1.0
0.486712090725801,0.6064516129032258,0.563827469583027,0.3098958333333342,0.326312883973152,0.391566265060241,0.2945298255164079,0.9980556646428485,0.0,0.8843435291371163,0.573736355135699,0.422879160218032,0.9100804258919588,0.0822179732313576,0.159237666580457,0.0800238552213208,0.268542774156758,0.0454051613822198,0.3859190776776759,0.0,0.447363067043926,0.246973384975284,0.4613292641233509,0.0286718655789037,0.351200547982247,0.527963605932153,0.342464610953402,0.0924573515537835,0.4811298156266414,5.496905014501508e-17,0.0
